sentence,cleaned_text,sentiment,topic
thầy dạy rất hay và nhiệt tình .,thầy dạy rất hay và nhiệt tình .,2,0
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .","thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,0
giúp đỡ học sinh quá ít .,giúp đỡ học sinh quá ít .,0,0
cô dạy buồn ngủ quá .,cô dạy buồn ngủ quá .,0,0
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,1
thầy tận tình vui tính .,thầy tận tình vui tính .,2,0
cô lại kiểu khó tính nữa .,cô lại kiểu khó tính nữa .,0,0
tạo hứng thú cho sinh viên .,tạo hứng thú cho sinh viên .,2,0
cô giảng hay cuốn hút và truyền đạt dễ hiểu .,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2,0
có hứng thú học .,có hứng thú học .,2,0
ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1,1
"giảng viên hướng dẫn cụ thể , chi tiết .","giảng viên hướng dẫn cụ thể , chi tiết .",2,0
giáo trình quá ít và nội dung không khác nhau là mấy .,giáo trình quá ít và nội dung không khác nhau là mấy .,0,1
"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .","giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0,0
"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .","giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0,0
"cần có một phòng máy tốt hơn , hiện đại hơn .","cần có một phòng máy tốt hơn , hiện đại hơn .",0,2
thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,0,0
"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .","không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 45 phút , không nhiệt tình .",0,0
giảng viên đánh giá sai điểm và năng lực của học sinh .,giảng viên đánh giá sai điểm và năng lực của học sinh .,0,0
không đáp ứng được đề cương môn học đề ra .,không đáp ứng được đề cương môn học đề ra .,0,1
thầy nên hướng dẫn thực hành nhiều hơn .,thầy nên hướng dẫn thực hành nhiều hơn .,0,0
"giảng viên thân thiện , quan tâm tới sinh viên .","giảng viên thân thiện , quan tâm tới sinh viên .",2,0
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .","môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,1
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .","giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,0
thầy dạy rất tốt và nhiệt tình .,thầy dạy rất tốt và nhiệt tình .,2,0
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .","cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,0
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .","bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,0
bài tập và hoạt động nhóm còn ít .,bài tập và hoạt động nhóm còn ít .,0,1
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .","giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,0
cô hướng dẫn thực hành khá đầy đủ .,cô hướng dẫn thực hành khá đầy đủ .,2,0
được học nhiều kinh nghiệm từ thầy wzjwz163 .,được học nhiều kinh nghiệm từ thầy wzjwz163 .,2,0
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .","kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",2,0
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,1
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,2
dạy không phù hợp với cách học của em .,dạy không phù hợp với cách học của em .,0,0
giải thích nội dung mới rõ ràng .,giải thích nội dung mới rõ ràng .,2,0
lớp học quá đông !,lớp học quá đông !,0,1
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .","môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,1
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .","giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,0
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .","mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,1
