sentence,text_processed,true_label,tuned_pred,tuned_correct,word_count,confidence,base_pred,base_correct
"cô dạy rất hay , gần gũi với tụi em .","cô dạy rất hay , gần gũi với tụi em .",positive,positive,True,11,0.9989664533477981,positive,True
nếu thầy hướng dẫn cài đặt các thuật toán nữa là tuyệt vời luôn .,nếu thầy hướng dẫn cài đặt các thuật toán nữa là tuyệt vời luôn .,positive,positive,True,15,0.9256042121059248,positive,True
có up bài cho sinh viên làm thêm bài tập .,có up bài cho sinh viên làm thêm bài tập .,positive,negative,False,11,0.9478652283004122,negative,False
nhiệt tình giúp đỡ giải đáp những thắc mắc của sinh viên .,nhiệt tình giúp đỡ giải đáp những thắc mắc của sinh viên .,positive,positive,True,13,0.9996000058940266,positive,True
em không thích như vậy tí xíu nào .,em không thích như vậy tí xíu nào .,negative,negative,True,9,0.7665511818083525,negative,True
"thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .","thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .",positive,positive,True,51,0.7449598481582859,positive,True
thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .,thời gian các bạn lên làm bài tập thì thầy nên giảng cho các sinh viên khác chưa làm được .,negative,negative,True,21,0.9995626117601637,negative,True
nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .,nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .,negative,negative,True,26,0.9975784125133292,negative,True
thầy cho bài tập ít quá .,thầy cho bài tập ít quá .,negative,negative,True,7,0.9928643516227885,negative,True
không slide .,không slide .,negative,negative,True,3,0.999867236686807,negative,True
"năng động , cập nhật kiến thức thêm những kiến thức thực tế và bổ ích .","năng động , cập nhật kiến thức thêm những kiến thức thực tế và bổ ích .",positive,positive,True,17,0.9818686658684646,positive,True
cách dạy đổi mới .,cách dạy đổi mới .,positive,positive,True,5,0.6248918133756997,positive,True
"đôi khi ít nói , chưa hướng dẫn kỹ bài thực hành .","đôi khi ít nói , chưa hướng dẫn kỹ bài thực hành .",negative,negative,True,13,0.9917490570115948,negative,True
thầy nên giảng chậm hơn va cho slide bài giảng .,thầy nên giảng chậm hơn va cho slide bài giảng .,negative,negative,True,11,0.9999279136635759,negative,True
"hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .","hiện nay đang bước vào đợt nắng nóng , nhưng trong môt số phòng học thì doubledot quạt rất yếu gây ra nóng nực , mệt mỏi cho sinh viên và giảng viên .",negative,negative,True,34,0.9899182582063951,negative,True
học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .,học thì quá ít nhưng khi thi thì quá nhiều yêu cầu viết code trong đề thi thì sao mà sinh viên có thể làm được .,negative,negative,True,27,0.9980633358665169,negative,True
"giảng viên nhiệt tình chia sẻ những kiến thức thực tế , các kỹ năng xã hội cần thiết , hữu ích .","giảng viên nhiệt tình chia sẻ những kiến thức thực tế , các kỹ năng xã hội cần thiết , hữu ích .",positive,positive,True,23,0.999065548225069,positive,True
"nhiều bài tập , sát với chương trình học và thi .","nhiều bài tập , sát với chương trình học và thi .",positive,positive,True,12,0.7176935698639593,positive,True
"máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .","máy chiếu nhiều lúc chẳng muốn để nhìn , chất lượng kém , ánh sáng làm mờ .",negative,negative,True,18,0.9998518484365971,negative,True
không thật sự dạy .,không thật sự dạy .,negative,negative,True,5,0.9910395686528479,negative,True
bài giảng hay và dễ hiểu .,bài giảng hay và dễ hiểu .,positive,positive,True,7,0.9999631715187456,positive,True
thầy truyền đạt tốt .,thầy truyền đạt tốt .,positive,positive,True,5,0.9934732276359897,positive,True
đồ án phần bắt buộc chỉ chiếm 1dot5 điểm và chỉ biết sau khi đã nộp .,đồ án phần bắt buộc chỉ chiếm 1dot5 điểm và chỉ biết sau khi đã nộp .,negative,negative,True,17,0.9559248215564273,negative,True
nội dung môn học không đáp ứng được mục tiêu của môn học .,nội dung môn học không đáp ứng được mục tiêu của môn học .,negative,negative,True,14,0.9590950755119744,negative,True
"ngoài những kiến thức trên lớp , thầy còn hướng dẫn và giảng dạy nhiều kiến thức mới , hỗ trợ tụi em rất nhiều trong quá trình hoàn thành đồ án .","ngoài những kiến thức trên lớp , thầy còn hướng dẫn và giảng dạy nhiều kiến thức mới , hỗ trợ tụi em rất nhiều trong quá trình hoàn thành đồ án .",positive,positive,True,33,0.9557749571762165,positive,True
giảng viên dạy rất là nhiệt tình .,giảng viên dạy rất là nhiệt tình .,positive,positive,True,8,0.9863800946869453,positive,True
quá nhiệt tình .,quá nhiệt tình .,positive,positive,True,4,0.9001720944655381,positive,True
thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .,thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .,negative,negative,True,10,0.9006976796579537,negative,True
nên cho sinh viên slide để học .,nên cho sinh viên slide để học .,negative,negative,True,8,0.996965464550459,negative,True
cách giảng của thầy đa số trong lớp không ai hiểu dù thấy có giảng lại .,cách giảng của thầy đa số trong lớp không ai hiểu dù thấy có giảng lại .,negative,positive,False,17,0.7157711792271171,positive,False
kiến thức chuyên môn sâu .,kiến thức chuyên môn sâu .,positive,positive,True,6,0.9855927928335277,positive,True
thầy dạy rất hay và kỹ .,thầy dạy rất hay và kỹ .,positive,positive,True,7,0.9994990330256835,positive,True
thầy dạy hay dễ hiểu cho làm nhiều bài tập mở rộng để hiểu bài .,thầy dạy hay dễ hiểu cho làm nhiều bài tập mở rộng để hiểu bài .,positive,positive,True,16,0.996246187928872,positive,True
"những kiến thức thầy cung cấp rất đa dạng và cần thiết , cảm ơn thầy rất nhiều .","những kiến thức thầy cung cấp rất đa dạng và cần thiết , cảm ơn thầy rất nhiều .",positive,positive,True,19,0.9781888070947451,positive,True
không cần phải mở lớp thực hành với môn học này .,không cần phải mở lớp thực hành với môn học này .,negative,negative,True,12,0.990509314664686,negative,True
sự nhiệt tình tận tâm .,sự nhiệt tình tận tâm .,positive,positive,True,6,0.9897874325513322,positive,True
thêm nhiều bài tập thiết thực hơn .,thêm nhiều bài tập thiết thực hơn .,negative,negative,True,8,0.9795568215471769,negative,True
rất tận tình .,rất tận tình .,positive,positive,True,4,0.9997438637779718,positive,True
phương pháp học áp dụng thực tiễn .,phương pháp học áp dụng thực tiễn .,positive,positive,True,8,0.9782061499379138,positive,True
"nhiệt tình , hăng hái .","nhiệt tình , hăng hái .",positive,positive,True,6,0.9859254585096339,positive,True
"giảng viên nhiệt tình , giảng dạy hiệu quả bằng tiếng anh .","giảng viên nhiệt tình , giảng dạy hiệu quả bằng tiếng anh .",positive,positive,True,13,0.9963614550978499,positive,True
"ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .","ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .",neutral,positive,False,15,0.9568520934620955,positive,False
bài thuyết trình của các sinh viên .,bài thuyết trình của các sinh viên .,neutral,neutral,True,8,0.40153435965793943,positive,False
cần có nhiều giảng viên như cô dạy hơn .,cần có nhiều giảng viên như cô dạy hơn .,positive,negative,False,10,0.9292449057729678,negative,False
ít cho bài tập .,ít cho bài tập .,negative,negative,True,5,0.9930268065108308,negative,True
có nhiều thầy cô đến lớp không đúng giờ .,có nhiều thầy cô đến lớp không đúng giờ .,negative,negative,True,10,0.6305742728421813,negative,True
đôi lúc sinh viên theo không kịp .,đôi lúc sinh viên theo không kịp .,negative,negative,True,8,0.9802511403878007,negative,True
nhiệt tình giảng bài .,nhiệt tình giảng bài .,positive,positive,True,5,0.998799900405053,positive,True
đúng giờ và tận tình trong giảng dạy .,đúng giờ và tận tình trong giảng dạy .,positive,positive,True,9,0.9899254949781766,positive,True
"thầy giảng nhiệt tình , truyền đạt nhiều kinh nghiệm học tập cho sinh viên .","thầy giảng nhiệt tình , truyền đạt nhiều kinh nghiệm học tập cho sinh viên .",positive,positive,True,16,0.9991072579361318,positive,True
cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .,cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .,negative,negative,True,18,0.994832123437648,negative,True
cô dạy còn hơi khó hiểu .,cô dạy còn hơi khó hiểu .,negative,negative,True,7,0.9943106017430985,negative,True
chúng em rất khó nắm kiến thức khi chỉ nghe các buổi seminar .,chúng em rất khó nắm kiến thức khi chỉ nghe các buổi seminar .,negative,negative,True,14,0.5821669836783202,negative,True
đề cương thực hành chi tiết .,đề cương thực hành chi tiết .,positive,negative,False,7,0.6787609785292414,negative,False
"thầy có khả năng truyền đạt tốt , vui tính .","thầy có khả năng truyền đạt tốt , vui tính .",positive,positive,True,11,0.9942925360664632,positive,True
chất lượng kiểm tra các môn học chưa đánh giá được chất lượng học sinh hiểu bài cho lắm .,chất lượng kiểm tra các môn học chưa đánh giá được chất lượng học sinh hiểu bài cho lắm .,negative,negative,True,20,0.9820280736440512,negative,True
chứ không chỉ cách viết một đoạn code mới học từ lý thuyết .,chứ không chỉ cách viết một đoạn code mới học từ lý thuyết .,negative,negative,True,14,0.8411490429648862,negative,True
"em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .","em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .",negative,negative,True,23,0.8016791687283125,negative,True
"chia nhỏ điểm ra , mỗi buổi 1 bài lab , nộp bài lab để lấy điểm .","chia nhỏ điểm ra , mỗi buổi 1 bài lab , nộp bài lab để lấy điểm .",negative,negative,True,18,0.5035835335638212,negative,True
em rất hài lòng về phương pháp giảng dạy này .,em rất hài lòng về phương pháp giảng dạy này .,positive,positive,True,11,0.9766679229981112,positive,True
giảng viên sử dụng thời gian lên lớp không hiệu quả .,giảng viên sử dụng thời gian lên lớp không hiệu quả .,negative,negative,True,12,0.5984667926023876,negative,True
giảng viên nên đến lớp đầy đủ .,giảng viên nên đến lớp đầy đủ .,negative,negative,True,8,0.9330496794634731,negative,True
thầy khá tận tình .,thầy khá tận tình .,positive,positive,True,5,0.9743067114372522,positive,True
nên nâng cao cơ sở vật chất của trường .,nên nâng cao cơ sở vật chất của trường .,negative,negative,True,10,0.996456768743931,negative,True
thầy rất dễ tính .,thầy rất dễ tính .,positive,positive,True,5,0.9941452877059405,positive,True
"nhiệt tình , dễ nghe , dễ hiểu .","nhiệt tình , dễ nghe , dễ hiểu .",positive,positive,True,9,0.9997022508737496,positive,True
"thầy dạy bài hay , dễ hiểu và nhiệt tình .","thầy dạy bài hay , dễ hiểu và nhiệt tình .",positive,positive,True,11,0.9998811969619489,positive,True
"ít có thời gian thực hành bằng thiết bị thật , mong nhà trường tạo điều kiện để sinh viên được thực hành nhiều hơn .","ít có thời gian thực hành bằng thiết bị thật , mong nhà trường tạo điều kiện để sinh viên được thực hành nhiều hơn .",negative,negative,True,26,0.999041835677421,negative,True
thầy rất vui và dạy rất kỹ .,thầy rất vui và dạy rất kỹ .,positive,positive,True,8,0.9996211092243783,positive,True
"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .","cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .",positive,positive,True,46,0.9607050477501681,positive,True
chương trình giảng dạy cần được phân bố hợp lý và được cập nhật .,chương trình giảng dạy cần được phân bố hợp lý và được cập nhật .,negative,negative,True,15,0.7705909247845051,negative,True
gần gũi với sinh viên .,gần gũi với sinh viên .,positive,positive,True,6,0.9967911664752257,positive,True
đề cập nhiều thông tin mở rộng ngoài xã hội .,đề cập nhiều thông tin mở rộng ngoài xã hội .,positive,positive,True,11,0.8390589043880606,positive,True
rất hài lòng nên không có gì không hài lòng .,rất hài lòng nên không có gì không hài lòng .,positive,negative,False,11,0.6428862783756923,positive,True
cách giảng dạy của thầy rất vui .,cách giảng dạy của thầy rất vui .,positive,positive,True,8,0.9529078871361157,positive,True
phòng học còn khá ồn do công trình xây dựng .,phòng học còn khá ồn do công trình xây dựng .,negative,negative,True,11,0.9761667803251576,negative,True
gíao viên hầu như chỉ dạy qua loa cho có .,gíao viên hầu như chỉ dạy qua loa cho có .,negative,negative,True,11,0.9066475836824233,negative,True
"gây mê , hay mắng và rất dễ hờn coloncontemn .","gây mê , hay mắng và rất dễ hờn coloncontemn .",negative,positive,False,11,0.9818367886991577,positive,False
"thầy hay cho những ví dụ , trường hợp rất thực tế .","thầy hay cho những ví dụ , trường hợp rất thực tế .",positive,positive,True,13,0.957131321560408,positive,True
thầy dạy rất thuyết phục và dễ hiểu .,thầy dạy rất thuyết phục và dễ hiểu .,positive,positive,True,9,0.9905392677151181,positive,True
"giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .","giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .",negative,negative,True,15,0.9999621669885709,negative,True
cô dạy hay nhiệt huyết tiết học vui nhộn dễ hiểu .,cô dạy hay nhiệt huyết tiết học vui nhộn dễ hiểu .,positive,positive,True,12,0.9999821850158127,positive,True
giáo viên thực hành .,giáo viên thực hành .,neutral,negative,False,5,0.5657486950474473,negative,False
"giảng viên rất nhiệt tình , giảng bài dễ hiểu .","giảng viên rất nhiệt tình , giảng bài dễ hiểu .",positive,positive,True,11,0.9999784326394472,positive,True
hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,negative,positive,False,16,0.5992893556375805,negative,True
